french,fongbe
Restez derrière la ligne de sécurité jaune jusqu’à l’arrêt complet du train en gare et l’ouverture des portes.,"Nɔ cí linlin vɔvɔ ɔ gudo kaka jɛ hwenu e jɔmɛhun ɔ na nɔte bǐ mlɛ́mlɛ́ ɖò jɔmɛhunj’ayǐtɛn ɔ, bɔ hɔn lɛ na hun é."
"En cas d’incendie, ne prenez pas l’ascenseur et dirigez-vous immédiatement vers la sortie de secours la plus proche.","Enyi myɔ tɔ́n ɔ, ma sɔ́ ascenseur ɔ ó, bo tlolo bo yì fí e è nɔ tɔ́n sín ajijimɛ bo sɛkpɔ finɛ hugǎn é."
Suivez le guide étape par étape et vérifiez chaque paramètre avant de valider définitivement la configuration de votre appareil.,Xwedó alixlɛ́mɛ afɔ ɖokpo ɖokpo tɔn ɔ bo kpɔ́n nǔ e è sɔ́ ɖ’ayǐ lɛ é ɖokpo ɖokpo cobo na xlɛ́ ɖɔ nǔ e a sɔ́ ɖó mɔ̌to towe jí é sɔgbe tawun.
Placez la viande au réfrigérateur douze heures avant la cuisson pour qu’elle soit parfaitement décongelée et conserve tout son goût.,Mi ze lan ɔ ɖo frigo mɛ ganxixo wěwe cobɔ mi na ɖa bɔ e na xú bi bo na hɛn hwɛn tɔn bi.
Adressez-vous au comptoir d’accueil muni de votre convocation et de votre pièce d’identité pour le retrait de votre dossier.,"Yi mɛ e nɔ yí mɛ lɛ é gɔ́n kpo wema e a nɔ ylɔ mɛ é kpo, kpodo wema e nɔ xlɛ́ mɛ é kpo bo yí dosie towe."
Rédigez votre message de manière claire et concise en précisant l’objet de votre demande dans la ligne dédiée du courriel.,Wlan wɛn towe céɖécéɖé bo lɛ́ ɖɔ xóta nǔ e ba wɛ a ɖè é tɔn ɖò linlin e è sɔ́ ɖó vo nú e-mail ɔ é mɛ.
Maintenez la porte ouverte à l’aide de la cale prévue à cet effet pendant toute la durée du déménagement des cartons lourds.,Hɛn hɔn ɔ ɖò nuvo bo zán hwǐ e è sɔnǔ na nú enɛ é ɖò hwenu e è na ɖò gbǎví kpɛví kpɛví lɛ sɛ̀ tɛn wɛ é bǐ mɛ.
Rincez abondamment la vaisselle à l’eau claire avant de la disposer soigneusement dans le lave-vaisselle pour un lavage optimal.,Klɔ́ agbán lɛ ganji kpo sin mímɛ́ kpo cobo sɔ́ ye dó agbánklɔ́nú ɔ mɛ ganji bonu ye na klɔ́ ganji.
Démarrez l’enregistrement vocal en prononçant clairement votre nom et la date du jour face au micro de l’appareil.,Bɛ̌ gbè e è wlan é gbɔn nyikɔ towe kpo azǎn égbé tɔn kpo ɖiɖɔ céɖécéɖé dó miklo nǔ ɔ tɔn mɛ gblamɛ.
"Si vous détectez une odeur suspecte, évacuez immédiatement les lieux sans utiliser d’interrupteur et contactez les urgences.","Enyi a mɔ ɖɔ wǎn ɖé ɖò wěxo hǔn, tɔ́n sín fí ɔ tlolo, bo ma zán zogbɛ́n ɖě ó, lobo kàn nǔ byɔ mɛ e nɔ kpé nukún dó nǔ lɛ wu ɖò ajijimɛ lɛ é."
Déposez votre bulletin de vote dans l’urne correspondant à votre bureau de vote après l’avoir glissé sous l’enveloppe fournie.,"Mi sɔ́ wema mitɔn dó voci gbǎví e sɔgbe xá vocitɛn mitɔn é mɛ, enyi mi ko sɔ́ dó enveloppe e è na mi é glɔ́ gudo ɔ nɛ."
Sélectionnez la langue souhaitée sur l’écran tactile avant de valider votre commande et de procéder au paiement électronique.,Hɛn gbè e a yí wǎn na é ɖò nǔ e jí è nɔ ɖ’alɔ dó é jí cobo yí gbè nú nǔ e a xɔ é bo jɛ akwɛ sú jí gbɔn alokan jí.
Vous devez absolument plier le linge encore tiède dès la fin du cycle de séchage pour éviter qu’il ne se froisse.,"A ɖó na xò nǔnyanú ɔ kplé hwenu e é kpó ɖò zozo wɛ é dandan, enyi è ko xúxú nǔ ɔ fó tlolo ɔ, bonu é ma wá xúxú ó."
Ne divulguez jamais votre mot de passe à un tiers et choisissez une combinaison suffisamment complexe pour garantir votre sécurité.,"Ma ɖɔ xógbe hwláhwlá towe nú mɛ ɖevo gbeɖé ó, bo sɔ́ nǔ e gɔ́ngɔ́n sɔmɔ̌ bɔ é na zɔ́n bɔ a na nɔ ayijayǐ mɛ é ɖé ó."
Patientez quelques minutes après l’atterrissage pour détacher votre ceinture et récupérer vos bagages en toute tranquillité.,Mi kɛnklɛn bo nɔte nú cɛju klewun ɖé ɖò ayikungban jí gudo bo tún gojiblánú mitɔn bo yí agban mitɔn lɛ ɖò vivo mitɔn mɛ.
"Arrosez les plantations chaque jour en période de forte chaleur, de préférence le soir, pour limiter l’évaporation de l’eau.","Mi nɔ na sìn atín lɛ ayihɔngbe ayihɔngbe ɖò hwenu e jǐ ɖò jija wɛ tawun é, é na nyɔ́ hugǎn ɖɔ è ni nɔ na sìn ye ɖò gbadanu, bo na dó ɖó dogbó nú sìn e nɔ xú é."
Déclinez votre identité et le motif précis de votre visite auprès de l’agent de sécurité situé à l’entrée principale.,Ðɔ mɛ alɔkpa e a nyí é kpo nǔ e wu a yì ba nukúnkpénuwutɔ́ e ɖò hɔntogbo ɖaxó ɔ nu é kpɔ́n tawun é kpo.
Pourrions-nous convenir d’un moment la semaine prochaine pour échanger autour d’un café et discuter de votre projet ?,Mǐ ka sixu bló tuto nú hwenu ɖé ɖò aklunɔzán gbla e bɔ d’ewu é mɛ bo na ɖɔ xó ɖó kpɔ́ ɖò kafée jí lobo na ɖɔ xó dó azɔ̌ towe jí à?
"C’était vraiment un plaisir de vous rencontrer aujourd’hui, j’espère que nous aurons l’occasion de collaborer très bientôt.","E vivi nu mi tawun ɖɔ mi mɔ mi egbe, un ɖo nukun ɖɔ mi na mɔ ali bo na w&#39;azɔ ɖo kpɔ zaanɖe."
"Je suis sincèrement désolé pour ce malentendu, je n’avais pas du tout l’intention de vous manquer de respect.",Nukúnnúmɔjɛnǔmɛ agɔ enɛ vɛ́ nú mì tawun; Un ɖó linlin ɖebǔ bo na gɔn sísí ɖó nú we ǎ.
Accepteriez-vous de me rejoindre pour le déjeuner dimanche ? J’aimerais vous présenter ma famille.,A ka na yí gbè bo na ɖu nǔ xá mì ɖò Aklunɔzángbe à? Un jló ná xlɛ́ we xwédo ce.
"Permettez-moi de vous présenter mes plus sincères condoléances, je suis de tout cœur avec vous dans cette épreuve.",Mi kɛnklɛ́n bó yí hwɛdómɛ ce e un nɔ dó nú mi é; Un ɖò kpɔ́ xá mi ɖò gbigbɔ lixo ɖò hwenu vɛwǔ elɔ mɛ.
"Je vous remercie infiniment pour votre aide précieuse, grâce à vous j’ai pu terminer ce dossier à temps.",È na cɛ nú we tawun ɖó alɔdó xɔ akwɛ e a na mì é wu; mi wɛ zɔn bɔ un kpewu bo fo wema elɔ ɖo ganmɛ.
"Félicitations pour votre succès, ce résultat est amplement mérité et nous sommes tous très fiers de vous.","Mi do ku nu mi ɖo nu e mi wa ɔ wu, nu e jɛ wɛ mi ɖe ɔ jɛxa mi bɔ mi bi yi go nu mi tawun."
"Vous avez toute mon attention, je vous écoute et je suis prêt à vous aider du mieux que je peux.","A ɖó ayi ce bǐ, un ɖò tó ɖó we wɛ bo ɖò gbesisɔmɛ bo na d’alɔ we lee un kpéwú gbɔn é."
"Je vous prie de bien vouloir excuser mon retard, un contretemps imprévu m’a retenu plus longtemps que prévu.",Mi kɛnklɛ́n bo sɔ́ hwenu e un ɖó te é kɛ mì; nǔ e jɛ bɔ un ma ɖó nukún tɔn ǎ é ɖé zɔ́n bɔ un nɔ ayǐ nú táan gegě hú lee un ɖó nukún gbɔn é.
"Avec tout mon respect, je me permets de ne pas partager votre avis sur ce sujet particulier.","Kpodo sísí bǐ kpo ɔ, un ɖó na ɖɔ ɖɔ un kún ɖó linlin ɖokpo ɔ xá we dó xóta enɛ jí ó."
Je suis heureux de vous annoncer que nous attendons un heureux événement pour le début du printemps.,Xomɛ hun mì ɖɔ un ɖò ɖiɖɔ nú mi wɛ ɖɔ mǐ ɖò nǔ awǎjijɛ tɔn ɖé ɖó nukún wɛ ɖò bǐbɛ̌mɛ jǐ hwenu tɔn.
Puis-je vous offrir un verre pour fêter cette bonne nouvelle et marquer l’événement comme il se doit ?,"Un ka sixu na we ahan ɖé bo na dó ɖu wɛnɖagbe enɛ sín xwè, lobo na lɛ́ ɖó wuntun nǔwiwa ɔ tɔn lee é jɛxa gbɔn é à?"
N’hésitez surtout pas à me solliciter si vous avez besoin du moindre conseil ou d’un coup de main.,"Mi kɛnklɛn bo ma gɔn xó ɖɔ xá mì ó, enyi mi ɖó hudo wěɖexámɛ ɖé tɔn alǒ alɔdó ɖé tɔn hǔn."
Veuillez transmettre mes amitiés à votre épouse et lui souhaiter un prompt rétablissement de ma part.,Mi kɛnklɛn bo dó gbe ce nú asì mitɔn bo dó gbè n’i ɖɔ é ni yawu gbɔ azɔn ɖò así ce.
Je tenais à vous dire combien votre discours m’a profondément touché et inspiré aujourd’hui.,Un jló na ɖɔ lee xóɖiɖɔ towe wà nǔ dó wǔ ce gbɔn égbé bo lɛ́ sɔ́ ayi ce ɖó jí é nú we.
"Pourriez-vous s’il vous plaît me rappeler votre nom, je suis désolé mais il m’échappe totalement.","A sixu flín mì nyikɔ towe à? É vɛ́ nú mì, amɔ̌, é hɔn nú mì bǐ mlɛ́mlɛ́."
"Je vous souhaite un très joyeux anniversaire, que cette nouvelle année vous apporte joie et sérénité.","Un do gbe nu mi tawun, xwe yɔyɔ elɔ ni hɛn awajijɛ kpodo fifa kpo wa nu mi."
"Ne vous inquiétez pas pour ce dossier, je comprends parfaitement votre situation et nous trouverons une solution.","Ma lin nuɖe do xo elɔ wu o, un mɔ nu jɛ mɛ ganji bɔ mi na mɔ hwɛjijɔ."
"J’ai beaucoup pensé à vous ces derniers temps, prenez bien soin de vous et reposez-vous.","Un nɔ lin tamɛ dó we jí tawun ɖò azǎn gudogudo tɔn elɔ lɛ mɛ, kpé nukún dó hwiɖée wu ganji bo gbɔjɛ kpɛɖé."
"Toutes mes excuses pour cette maladresse, c’était tout à fait involontaire et je comprends votre mécontentement.",Un byɔ hwɛsɔ́kɛ kpo ayi bǐ kpo ɖó nǔwanyido enɛ wu; é nyí linlin ɖé ǎ bǐ mlɛ́mlɛ́ bɔ un mɔ nukúnnú jɛ xomɛsin towe wu.
"Vous êtes un convive remarquable et votre présence a vraiment égayé notre soirée, merci infiniment.","A nyí jonɔ nukúnɖeji ɖé bɔ fí e a ɖè é hɛn gbadanu mǐtɔn kɔ́n nugbǒ, é na cɛ nú we tawun."
conduit une voiture électrique silencieuse.,nɔ kun mɔ̌to e nɔ zán couláán é ɖé bɔ é nɔ ɖɔ xó ǎ.
Cette vieille maison a des volets bleus.,Xwé xóxó élɔ́ ɖó hɔnsúnú blúblú.
Son regard est doux et pénétrant.,Nukúnmɛ tɔn nɔ fá bo nɔ byɔ mɛ mɛ.
La soupe mijote doucement sur le feu.,Nùsúnnú ɔ ɖò jiji wɛ ɖɛɖɛ ɖò zogbɛ́n ɔ jí.
Elle porte un chapeau de paille fleuri.,É dó gbakún zunkan tɔn ɖé bɔ flowa lɛ ɖò jí.
Le vent agite doucement les feuilles des arbres.,Jɔhɔn nɔ húnhún atín lɛ sín ama lɛ dɛ̌dɛ̌.
Ce fromage sent très fort mais bon.,"Fromage énɛ́ ɔ́, wǎn tɔn syɛn ɖésú, amɔ̌, é nɔ́ hwɛ́n wǎn ɖagbe."
Les montagnes se dessinent à l’horizon.,È nɔ mɔ só lɛ ɖò jǐxwé.
Son chat a les yeux vairons.,Awǐi tɔn ɖó heterochromie (nukún e ɖó sinmɛ vovo lɛ é).
La bibliothèque sent le vieux papier.,Wema xóxó lɛ sín wǎn wɛ ɖò wemaxɔ ɔ mɛ.
Elle écrit avec une plume délicate.,É nɔ wlan nǔ kpo alɔɖiɖó fɛ́ɖɛ́fɛ́ɖɛ́ ɖé kpo.
Le brouillard recouvre toute la vallée.,Ahún ɔ́ cyɔ́n tɔdo ɔ́ bǐ.
Ce gâteau a un glaçage brillant.,Cake enɛ ɔ ɖó glacé e nɔ kɔ́n é ɖé.
Il marche d’un pas lent et fatigué.,É nɔ ɖi zɔnlin kpo zɔnlin e nǔ cikɔ na é kpo.
Sa robe est légère et colorée.,Awu tɔn fɛ́ɖɛ́fɛ́ɖɛ́ bo lɛ́ ɖó sinmɛ vovo.
Le chien dort devant la cheminée.,Cukú ɔ ɖo amlɔ dɔ wɛ ɖo myɔkán ɔ nukɔn.
Cette rue est bordée de platanes.,Atín e nɔ nyí plane é wɛ ɖò ali enɛ jí.
Elle parle avec un accent chantant.,É nɔ ɖɔ xó kpo gbè ɖé kpo.
Le ciel est d’un bleu lavande.,Jinukúnsin nyí blɔ lavender tɔn.
Il porte une barbe bien taillée.,É ɖó atán e è kpa ganji é ɖé.
Son sourire éclaire tout son visage.,Nukiko tɔn nɔ kɔ́n ɖò nukúnmɛ tɔn bǐ jí.
Le jardin est envahi par les roses.,Rose lɛ gɔ́ jikpá ɔ mɛ.
Il lit toujours le nez dans ses livres.,É nɔ xà nǔ kpo awɔntín tɔn kpo hwebǐnu ɖò wema tɔn lɛ mɛ.
Cette table est en chêne massif.,"Tavo élɔ́ ɔ́, atín syɛnsyɛn wɛ è sɔ́ dó bló ná."
La nuit est tombée sans prévenir.,Zǎn kú bɔ è ma tuùn ǎ.
Elle a un rire communicatif.,É ɖó nukiko e nɔ hɛn mɛ gble é ɖé.
Son regard se perd à l’horizon.,Nukún tɔn lɛ ɖò jǐ yì wɛ.
range pas ta chambre tout de suite.,Ma jla xɔ towe ɖó tlolo ó.
Écoute attentivement ce que je vais te dire.,Mi ɖótó xó e ɖɔ nú mi wɛ un ɖe ɔ́ ganjí.
Veuillez fermer la porte en sortant.,Kɛnklɛn sú hɔn ɔ hwenu e a na tɔ́n é.
"Ne parle pas la bouche pleine, s’il te plaît.","Kɛnklɛ́n, ma ɖɔ xó kpo nu towe kpo ó."
Range tes jouets avant de regarder la télévision.,Sɔ́ ayihunnú towe lɛ ɖó fí ɖé cobo kpɔ́n televiziɔn.
Va te laver les mains avant de passer à table.,Yi klɔ́ alɔ cóbó jínjɔ́n ayǐ bó ɖu nǔ.
"Allume la lumière, je n’y vois rien.","Mi ta zogbɛn ɔ, un mɔ nuɖe ǎ."
Éteins ton jeu et viens manger.,Cí ayihun towe bo wá ɖu nǔ.
Tais-toi un instant et réfléchis avant de parler.,Nɔ abwɛ kpɛɖé bo lin tamɛ kpɔ́n cobo ɖɔ xó.
Finis ton assiette si tu veux du dessert.,Fífó gannu towe nú a jló dessert hǔn.
Fais attention en traversant la rue.,Nɔ acéjí hwenu e a ɖo ali dasá wɛ é.
Ouvre ton cahier à la page vingt.,Hùn wema towe ɖó wexwɛ ko jí.
Lis la consigne jusqu’au bout avant de commencer.,Xà alixlɛ́mɛ lɛ bǐ mlɛ́mlɛ́ cobo bɛ́.
Sors ton agenda et note les devoirs.,Ðè tuto towe tɔ́n bo wlan azɔ̌ e è sɔ́ d’así nú we ɖò xwégbe lɛ é.
Répète après moi en articulant bien.,"Vɔ ɖɔ ɖò gudo ce, bo ɖɔ xó ɔ céɖécéɖé."
"Ne crie pas dans la bibliothèque, chut.","Ma súxó ɖò wemaxɔmɛ ó, shh."
Ramasse ce que tu as fait tomber.,Sɔ́ nǔ e a zé nyì ayǐ é.
Souligne les verbes dans chaque phrase.,Sɔ́ xógbe e ɖò xógbe ɖokpo ɖokpo mɛ lɛ é dó tɛ́n kpɔ́n.
Découpe les images en suivant le contour.,Sɛ́n ɖiɖe ɖěɖee xwedó tuto ɔ lɛ é.
Colle ton dessin sur la feuille blanche.,Sɔ́ nǔ e a ɖè é dó wema wewé ɔ jí.
Va chercher tes chaussures dans l’entrée.,Yi yí afɔkpa towe lɛ ɖò hɔntogbo ɔ jí.
Accroche ton manteau au portemanteau.,Sɔ́ awu towe ɖó awu ɖaxó ɔ jí.
Prépare ton cartable pour demain matin.,Mi sɔ azɔmɛ saki mitɔn ɖo te nu sɔ zanzan.
Ne cours pas dans les escaliers.,Ma kán wezun gbɔn escalier jí ó.
Lève la main avant de prendre la parole.,Sɔ́ alɔ dó jǐ cobo ɖɔ xó.
Souffle doucement sur ta bougie.,Fúnfún zogbɛ́n towe jí bléblé.
"fait beau aujourd’hui, nous allons nous promener.",Gbe ɔ nyɔ egbe‚ mi na yi ɖi sa.
"Hier, j’ai regardé un film passionnant au cinéma.",Sɔ ɔ‚ un kpɔn fímu ɖagbeɖagbe ɖe ɖò sinemaxɔsa.
"Demain, tu finiras ton projet avant midi.","Sɔ ɔ, a na fó azɔ̌ towe cobɔ gan wěwe na xò."
Nous visiterons Paris la semaine prochaine.,Mi na yi Paris ɖo azan ɖe na wa jɛ ɔ mɛ.
Elle prépare le dîner pendant que son fils travaille.,É nɔ ɖa gbadanu nùɖuɖu hwenu e vǐ sunnu tɔn ɖò azɔ̌ wà wɛ é.
Vous avez déjà vu ce spectacle magnifique ?,A ka ko kpɔ́n nǔwiwa ɖagbeɖagbe enɛ kpɔ́n à?
"Si j’avais le temps, je voyagerais plus souvent.","Enyi un ɖó hwenu ɔ, un na nɔ yì tomɛ hwɛhwɛ."
Je viens de terminer mon rapport hebdomadaire.,Un ko fó aklunɔzán gblamɛ sín gbeɖiɖó ce dìn tlolo.
"Autrefois, les gens écrivaient des lettres manuscrites.","Ð’ayǐ ɔ, mɛ lɛ nɔ wlan wema kpo alɔ kpo."
Nous allons acheter une nouvelle voiture bientôt.,Mi na xɔ hùn yɔyɔ ɖokpo zaanɖe.
"Elle aura bientôt trente ans, dit-on.",Ye ɖɔ é na ɖó xwè gban ɖò malin-malin mɛ.
"Pendant les vacances, nous nous sommes bien amusés.",Mǐ ɖu vivǐ nǔ gègě tɔn ɖò xwè ɔ hwenu.
Fais tes devoirs avant de regarder la télévision.,Blǒ azɔ̌ towe lɛ cobo kpɔ́n televiziɔn.
"Quand tu viendras, apporte le dessert, s’il te plaît.","Nú a wá ɔ, kɛnklɛn bo hɛn dessert wá."
Il faudrait que vous partiez avant la nuit.,A ɖó ná tɔ́n cóbónú zǎn ná kú.
Je ne savais pas que tu habitais ici.,Un tunwun ɖɔ a nɔ nɔ fí ǎ.
"Le train part dans dix minutes, dépêche-toi.","Pipan ɔ na yi ɖo ceju wo mɛ, mi yawu."
Depuis quand apprends-tu le français ?,Hwetɛnu a ka ɖo Flansegbe kplɔn wɛ ?
"L’année prochaine, j’étudierai à l’étranger.","Xwe ɖevo mɛ ɔ, un na yi kplɔn wema ɖo to ɖevo mɛ."
Ils viennent d’emménager dans ce quartier paisible.,É ko lín ǎ bɔ ye sɛ̀ tɛn wá xá enɛ e mɛ fífá ɖè é.
Nous nous sommes rencontrés il y a dix ans.,Xwè wǒ ɖíe wɛ mǐ mɔ mǐɖée.
Je prendrai ma retraite dans cinq ans exactement.,Un na yì gbɔjɛ ɖò xwè atɔ́ɔ́n gudo pɛ́pɛ́pɛ́pɛ́.
avez-vous les mains régulièrement pour éviter les infections.,Nɔ klɔ́ alɔ towe lɛ hwɛhwɛ bo na dó nyì alɔ nú azɔnkwín lɛ.
Une alimentation équilibrée renforce votre système immunitaire.,Nǔɖuɖu e ɖò jlɛ̌ jí é nɔ na hlɔnhlɔn agbaza towe bɔ é nɔ ɖí xwi xá azɔn.
L’hydratation est essentielle au bon fonctionnement du corps.,Sin e ɖò agbaza mɛ é ɖò taji cobɔ agbaza ɔ na w’azɔ̌ ganji.
Le manque de sommeil augmente le risque de maladies.,"Amlɔ ma dɔ́ ganji ǎ ɔ, azɔn nɔ lɛ́ jɛji."
Pratiquez une activité physique pour rester en bonne santé.,Nɔ ɖ’alɔ ɖò agbazazɔ́ lɛ mɛ bo na dó nɔ ganji.
"Évitez le tabac, il nuit gravement à vos poumons.",Nɔ nyì alɔ nú azɔ; é nɔ hɛn fɔngɔ́ towe gblé tawun.
Réduisez votre consommation de sel pour protéger votre cœur.,Ðè jɛ̌ e a nɔ ɖu é kpò bo na dó cyɔn alɔ ayi towe jí.
Prenez le temps de respirer pour diminuer le stress.,Nɔ ba hwenu bo nɔ gbɔjɛ bo na dó ɖè adohu adohu kpò.
Protégez votre peau du soleil avec une crème adaptée.,Sɔ́ nǔ e jɛxa é ɖé dó cyɔn alɔ agbaza towe jí sín hwesivɔ nu.
Limitez les écrans avant de dormir pour mieux récupérer.,Mi ɖó dogbó nú hwenu e è nɔ zán dó kpɔ́n nǔ ɖò televiziɔn jí é cobo nɔ yì mlɔ́ ayǐ bo na dó sixu gbɔ azɔn ganji.
Le rire aurait des effets bénéfiques sur le système cardiovasculaire.,È ɖɔ ɖɔ nǔkiko nɔ wà ɖagbe nú ayixa kpo kanjɔ lɛ kpo.
Un excès d’alcool peut endommager le foie.,Ahan nunu zɛ xwé wu sixu hɛn azin gblé.
Faites des pauses régulières si vous travaillez assis.,"Enyi a ɖò azɔ̌ wà wɛ bo ɖò ayijinjɔn wɛ hǔn, nɔ gbɔjɛ hwɛhwɛ."
La posture influence la santé de votre dos.,Lee a nɔ cí é nɔ wà nǔ dó lanmɛ na nɔ ganji akɔ́n towe tɔn wu.
Aérez votre logement chaque jour pour purifier l’air.,Mi nɔ bló bɔ jɔhɔn nɔ gbɔn xwé mitɔn gbè ayihɔngbe ayihɔngbe bo na dó slá wǔ nú jɔhɔn ɔ.
Brossez-vous les dents après chaque repas.,Nɔ klɔ́ aɖu towe lɛ ɖò nùɖuɖu lɛ bǐ gudo.
Le sucre en excès favorise le diabète et l’obésité.,Sukle zɛ xwé wu nɔ zɔ́n bɔ è nɔ jɛ aɖɔwé kpo è nɔ ɖu nǔ zɛ xwé wu kpo.
"Écoutez votre corps, il vous envoie des signaux.","Ðǒtó agbaza towe, é ɖò wuntun lɛ sɛ́dó we wɛ."
Apprendre à dire non préserve votre équilibre mental.,Eǒ kplɔnkplɔn nɔ hɛn linlin towe ɖó te.
Les liens sociaux protègent contre la dépression.,Kancica e ɖò gbɛtɔ́ lɛ tɛntin é nɔ cyɔn alɔ mǐ jí ɖò linkpɔ́nzɔn sí.
Faites vérifier votre vue et votre audition régulièrement.,Nɔ gbéjé nukún towe lɛ kpo tó towe lɛ kpo kpɔ́n hwɛhwɛ.
La méditation aide à calmer l’anxiété.,Tamɛ linlin nɔ d’alɔ bɔ adohu adohu nɔ fá.
Un suivi dentaire régulier évite bien des complications.,Aɖu lɛ kpinkpɔn hwɛhwɛ nɔ glɔ́n ali nú tagba gègě.
Variez les aliments pour couvrir tous vos besoins.,Nɔ ɖyɔ nǔɖuɖu e a nɔ cyan lɛ é bo na dó kpé hudo towe lɛ bǐ wu.
Le surpoids augmente les tensions articulaires.,"Enyi è syɛn zɛ xwé wu ɔ, é nɔ zɔ́n bɔ è nɔ ɖó linkpɔ́n nú xú lɛ."
"Ne négligez pas vos vaccins, ils sauvent des vies.","Ma wɔn abɔta mitɔn lɛ ó, ye nɔ hwlɛn gbɛtɔ́ lɛ gán."
Prendre soin de soi est un acte de respect.,Mɛɖée kpinkpɔn nyí nǔwiwa sísí tɔn ɖé.
Il faut que tu partes immédiatement.,A ɖó na yawu yì.
"En 2050, les voitures voleront peut-être.","Ðò 2050 ɔ, mɔ̌to lɛ sixu ko ɖò jɔmɛhun kun wɛ."
Je venais de me coucher quand tu as appelé.,Un ko yì mlɔ́ ayǐ dìn tlolo bɔ a ylɔ mì.
Pourvu qu’il n’ait pas oublié les clés.,Mi nú mǐ ni ɖó nukún ɖɔ é kún wɔn cávi lɛ ó.
"Après son bain, elle s’est endormie aussitôt.","Ee é lɛ wǔ gudo é ɔ, é dɔ́ amlɔ tlolo."
"Quand tu seras grand, tu comprendras.","Nú a sù ɔ, a na mɔ nukúnnú jɛ mɛ."
Il aurait aimé voyager en Amérique du Sud.,É na ko jló na yì Tofɔligbé Amérique tɔn.
"Pendant mon enfance, je jouais au parc.","Ðò vǔ ce ɔ, un nɔ xò ayihun ɖò jikpá ɔ mɛ."
"Dès que tu auras fini, préviens-moi.","Nú a fó tlolo ɔ, ɖɔ nú mì."
Elle aurait dû écouter les conseils de sa mère.,É ɖó na ko ɖótó wěɖexámɛ nɔ tɔn tɔn.
J’espère que vous viendrez à ma fête.,Un ɖó nukún ɖɔ a na wá xwè ce tɛnmɛ.
"Avant de sortir, j’avais verrouillé la porte.","Cobonu un na tɔ́n ɔ, un ko sú hɔn ɔ."
Il faudrait que vous répondiez plus rapidement.,A ɖó na yawu yí gbè na.
"D’habitude, elle prend son café sans sucre.",É nɔ yawu nu kafé tɔn sukle mɛvo.
"Quand nous étions petits, nous croyions au Père Noël.","Hwenu e mǐ ɖò kpɛví é ɔ, mǐ ɖi nǔ nú Papa Noël."
"Dès qu’il fut arrivé, le spectacle commença.","É wá tlolo ɔ, nǔwiwa ɔ bɛ́."
Ils vivent à Lyon depuis dix ans.,Ye ko nɔ Lyon sín xwè wǒ ɖíe.
"Tu vas regretter cette décision, un jour.",Gbeta enɛ e kɔn a wá é na vɛ́ nú we gbè ɖokpo.
Il pleut depuis trois jours sans s’arrêter.,"Jǐ ko ɖò jija wɛ sín azǎn atɔn ɖíe, bo ma nɔ ɖó te ǎ."
Nous serions partis si nous avions pu.,Mǐ na ko yì enyi mǐ kpéwú ɔ nɛ.
"Chaque été, mes grands-parents venaient nous voir.","Hwenu e jǐ nɔ ja é tɛgbɛ ɔ, tɔ́gbó ce lɛ nɔ wá ba mǐ kpɔ́n."
Il neigeait quand le facteur est passé.,Laglasi ɖò jija wɛ hwenu e mɛsɛ́dó ɔ wá é.
"Sans ton aide, je n’aurais pas réussi.","É ma nyí alɔdó mitɔn ǎ ɔ, un na ko kpéwú ǎ."
