fon,fr
Ajo tɔn víví,Son groupe est agréable.
Atín ɔ́ ɖó sò,L’arbre est creux.
E hɛn xó ɔ́ wlú,Il a brouillé le propos.
É dɔn afɔ d’ɛ́,Il traînait les pieds par terre.
Azǎn ɖagbe !,Bonne journée !
hwɛ kpodo tomɛyiyi kpo,toi et le voyage
mi hɛn ɔ mi na ɖɔ fiɖe un sixu mɔ alokan ɖe ɔ a,pouvez-vous aussi me dire où je peux trouver un téléphone
nu e na tɔn sin nu e mɛɖe gba tamɛ bo blo é ɔ mɛ ɔ tɔn wɛ e ɖo na nyi,b'ɛ na jɛ hun do nu tɔn ji ɖo nujinjanlinu wɛ à wemawlan wlan sin alinu wɛ à alo alɔlyɛn zɔwiwa sin alinu
un ɖo akɔnkpikpan sin hu do,j'ai besoin de courage
E ɖo na xwe cici,Il doit porter des lunettes.
kɔ̀n animátlὲ,parfumer
vùn célù,parfumer
sá nùsáwŭ dŏ,parfumer
"Toxo e è nyi akɔ bo ná Levíi ví ɖě lɛ́ɛ e kpo, bó nyí Mɛlali sín xwédo lɛ́ɛ bǐ bló toxo wěwe.","Total des villes qui échurent par le sort aux fils de Merari, selon leurs familles, formant le reste des familles des Lévites : douze villes."
rhor mahu,putain
"Mi ma ɖó nǔdagan alɔkpa we ɖo glo mitɔn mɛ bó ná zé éé kló ɔ́ dó xɔ nǔ ná, lobo ná zé éé hwe ɔ́ dó sa nǔ ná ó.","Tu n'auras point dans ton sac deux sortes de poids, un gros et un petit."
nù jɛ̀ dó mɛ hwenu nɔ́ nyí tàn ă,un événement contemporain n'est pas un fait historique
a na nyí awaɖonú ajalɔ́nnɔ tɔ̀n,tu seras la joie de ton seigneur
a na sa vo nú măwŭ,tu supplieras dieu
A ɖo kafe nu wɛ,Tu bois du café.
azan tεgbe yi a ɖe,quel jour pars-tu
É bló ɖó gan tɔ́n jí,Il a fait comme il convenait de faire.
"Ayǐ ɖokpó sixú wá hɔ́n, bɔ mi ná se, bɔ è nǎ ɖɔ dó toxo e Mawu Mavɔmavɔ, Mawu mitɔn ná ná mi bɔ mi ná nɔ mɛ lɛ́ɛ ɖokpó wú ɖɔ:","Si tu entends dire au sujet de l'une des villes que t'a données pour demeure l'Éternel, ton Dieu :"
gannú ɔ́ flé,le récipient a perdu une partie de son émail
Mi gbeje xo ɔ kpɔn ganji,Examinez bien l'affaire
Toxo gbɛɖe,Ville animée
Mɛ ɖokpó wá ă,Aucun n'est venu.
kútútɔ́ nya mɛ ɖò hunjava é ɖɔ̀ émí,jăwè
e nɔ́ ɖó tɔ́n ɖo lanmɛ̀,il est chatouilleux
"Ée è nǎ yě ɖo akɔta Nɛfutali tɔn ɔ́ sín ayǐkúngban jí lɛ́ɛ ɖíe: Kedɛ́ci e ɖo Galilée ɔ́ kpó Hamumɔ́ti-Dɔ́ɔ kpó, kpó Kaatáni kpó, kpódó ayǐkúngban e lɛ́ lɛ̌ dó yě lɛ́ɛ kpó. Kedɛ́ci ɔ́, toxo e mɛ mɛ e hu mɛ lɛ́ɛ nɔ yi hɔn hwlá cí lɛ́ɛ ɖě wɛ. É bló toxo atɔn.","et de la tribu de Nephthali, la ville de refuge pour les meurtriers, Kédesch en Galilée et sa banlieue, Hammoth Doret sa banlieue, et Karthan et sa banlieue, trois villes."
Yi ná nùɖúɖú yĕ,Va leur donner la nourriture.
a ɖò hwenu gbɔ wɛ̀,tu te mets en retard
yì tomɛ̀ nú mɛ,aller en voyage pour traiter une affaire
Nǔ ba kpɔ́n wɛ nyí ayixa e nɔ gbɛ́ ɖɔ emi kún na sɛ̀n dogbó nǔ e jɛxa é tɔn lɛ ó é ɖé.,La curiosité est une insolence de l’esprit qui refuse de s’incliner devant les frontières du convenable.
Mǐ nɔ Lyon nú xwè atɔ́ɔ́n.,Nous avons vécu à Lyon pendant cinq ans.
E jɛ́n nɛ́,C’est absolument cela.
Koklo ɔ ɖo azin ɖo wε,La poule pond des oeufs .
A ka sixu xlɛ́ dotóo ɖagbe e ɖò xá ɔ mɛ bo kpó ɖò azinzɔnnɔ lɛ mɔ wɛ ɖò Samedi zǎnzǎn lɛ é ɖé à?,Sauriez-vous me recommander un bon médecin généraliste qui consulte encore le samedi matin dans le quartier ?
Gbenyatɔ ɖaxo wɛ nyi tɔxɔsu lɛ,Les pygmées sont de grands chasseurs.
ajotɔ́,voleur
àjòtɔ́,voleur
E nyi nu ti ă,Ce n'est rien.
hwɛ tɛ́ wɛ́ wlí ì,quel tribunal l'a condamné
e kpɛ́n hú wàn,c'est plus lourd qu'une enclume
"É ná zé agbo e ma ɖó blɔ̌ ɖěbǔ ǎ, bɔ è nɔ dó sá hwɛxɔ́súsú vɔ́ ná ɔ́ ɖokpó wá nú vɔ̌sánú-xwlémawutɔ́ ɔ́. Agbo ɔ́ ɖó ná xɔ akwɛ́ nabí e è ɖɔ é. Vɔ̌sánú-xwlémawutɔ́ ɔ́ ná bló lě e è nɔ bló gbɔn bó nɔ́ xwlé vɔ̌sánú mì ɔ́ dó sá hwɛxɔ́súsú vɔ́ ná dó ta tɔn mɛ, bɔ Mawu Mavɔmavɔ ná sɔ́ nǔ e é má tunwun ǎ bó wa ɔ́ kɛ ɛ.","Il présentera au sacrificateur en sacrifice de culpabilité un bélier sans défaut, pris du troupeau d'après ton estimation. Et le sacrificateur fera pour lui l'expiation de la faute qu'il a commise sans le savoir, et il lui sera pardonné."
A ka na yí gbè bo na mì linlin towe e nyí nǔnywɛtɔ́ é dó azɔ̌ enɛ jí cobɔ un na sɔ́ xlɛ́ gǎn lɛ ɖò tɛ́nigbe zǎnzǎn à?,riez-vous me donner votre avis d’expert sur ce projet avant que je ne le présente à la direction lundi matin ?
Ahwan énɛ́ ɔ́ kpo ɖo te káká wá jɛ Abiya hwenu. È wlǎn Abiya sín tan e kpo ɔ́ dó “Axɔ́sú Judáa tɔn lɛ́ɛ sín Tan wéma” mɛ. Abiya lɔmɔ̌ fun ahwan xá Jelobowámu.,"Le reste des actions d'Abijam, et tout ce qu'il a fait, cela n'est-il pas écrit dans le livre des Chroniques des rois de Juda ? Il y eut guerre entre Abijam et Jéroboam."
sέ wú ɖὲ wú wὲ,grâce à la bénédiction de dieu
Xwè bĭ mɛ̀,Chaque année.
Ani ka nyí ?,Qu’est-ce que c’est ?
lɔ̀n,accepter
yĭ gbè,accepter
yĭ gbè nú me,accepter
"Akɔta tɛ́nwe ka kpo ɖo yě mɛ, bɔ è ko ná ayǐkúngban ɖě yědɛɛ lɛ́ɛ ǎ.",Il restait sept tribus des enfants d'Israël qui n'avaient pas encore reçu leur héritage.
mὲ,sécher
xú,sécher
tɔ ce nɔ xa xojlawema lε,mon père lit les journaux
"Mawu Mavɔmavɔ dɔn tó nú mì, lo ɔ́, é jó mì dó nú kú ǎ.","Le Seigneur (Yah) m’a corrigé, mais il ne m’a pas livré à la mort."
Nɔ na xósin nú nǔkanbyɔ ɔ bo ma nɔ lin tamɛ kpɔ́n ó.,Réponds à la question sans réfléchir.
"Salomɔ́ɔ ɖu azavaxwe ɔ́ hwe énɛ́ ɔ́ nu kpódó Izlayɛ́li ví lɛ́ɛ bǐ kpó nú azǎn tɛ́nwe. Yě gosín fí tɛnmɛ tɛnmɛ ɖo to ɔ́ mɛ. Yě gosín káká Lɛbo-Hamáti ɖo totaligbé, bó lɛ́ gosín káká tɔsisa Ejípu tɔn ɔ́ kɔn ɖo tofɔligbé.","Salomon célébra la fête en ce temps-là pendant sept jours, et tout Israël avec lui; une grande multitude était venue depuis les environs de Hamath jusqu'au torrent d'Égypte"
"Énɛ́ ɔ́, yě zě ɖě ɖ'ayǐ nú sɔ zǎnzǎn, lě e Mɔyízi ko ɖɔ gbɔn nú yě é. Ɖě gblé ǎ. Wǎnvú ká byɔ́ yě mɛ ǎ.","Ils le laissèrent jusqu'au matin, comme Moïse l'avait ordonné; et cela ne devint point infect, et il ne s'y mit point de vers."
"Malulúki, Halimu kpó Baana kpó.”","Malluc, Harim, Baana."
"Mawu ɖe gbe bɔ jɔhɔn zǎnzǎnhwe jí tɔn jɛ nyinyi jí ɖo jǐxwé; é ɖe gbe dó jɔhɔn afɔligbé tɔn ɔ́, bɔ é jɛ nyinyi jí gǎnnugǎnnu.","Il fit souffler dans les cieux le vent d'orient, Et il amena par sa puissance le vent du midi ;"
aɖŭ,défense d'éléphant
ajinakúɖɔ́,défense d'éléphant
ajinakúɖú,défense d'éléphant
"Mi ná zé nyibúsú we, agbo ɖokpó, lɛ̌ngbɔ́ví e ɖó xwe ɖokpó ɔ́ tɛ́nwe dó sá vɔ̌ e è nɔ dó zo, bɔ wǎn tɔn nɔ́ nyɔ́ se nú mì ɔ́ ná.","Vous offrirez en holocauste, d'une agréable odeur à l'Éternel, deux jeunes taureaux, un bélier, et sept agneaux d'un an."
Nǔ cikɔ nú mì bǐ mlɛ́mlɛ́.,À bout de forces.
"Sɛ́ sɛ́dlutín kpó siplɛ́tín kpó santálutín kpó dó mì sín Libáan sókan mɛ. Ɖó un tunwun ɖɔ mɛsɛntɔ́ towe lɛ́ɛ nyɔ́ Libáan sín atín lɛ́ɛ gbo. Mɛsɛntɔ́ ce lɛ́ɛ ná wá gɔ́ alɔ nú yě,","en provenance du mont Liban. Je sais que tes bûcherons sont compétents pour couper les arbres du Liban ; mes ouvriers iront aider les tiens,"
ɖò mε ɖóɖó,faire ce que l'on veut
Fí e Aalɔ́ɔn ví lɛ́ɛ nɔ́ nɔ ɖo ayǐkúngban e è nǎ yě lɛ́ɛ jí lɛ́ɛ ɖíe: è nyi akɔ dó bɔ Aalɔ́ɔn ví e jɔ ɖo Kexáti hɛ́nnu mɛ lɛ́ɛ yí ayǐkúngban dó nukɔn.,"Voici leurs habitations, selon leurs enclos, dans les limites qui leur furent assignées. Aux fils d'Aaron de la famille des Kehathites, indiqués les premiers par le sort,"
Un na nya wema elɔ nu we tlolo e un na fo ɔ.,Je te prêterai ce roman dès que je l'aurai fini.
un ɖò kwékwé bá ná xɔ́ wɛ̀ ă,je n'ai pas besoin de bananes
gbadé,maïs
dódó,absolument
dóó,absolument
jέn,absolument
sésé,absolument
tatlέ,absolument
"É nyɔ́ wa ɔ́, mi ná flí vɔ̌sákpe yětɔn lɛ́ɛ xwe, mi ná gba awǐnnya e yě tun te bó nɔ sɛn lɛ́ɛ, bó ná sɛ́n vodún Acela yětɔn lɛ́ɛ.","Au contraire, vous renverserez leurs autels, vous briserez leurs statues, et vous abattrez leurs idoles."
ɖo hwɛ wutu ɔ e ɖo na ɖuɖo kɛntɔ lɛ ji,grâce à toi il vaincra sans aucun doute ses ennemis
"A ɖó hwenu kpɛɖé bo na nɔte à, kɛnklɛn à ?",Avez-vous un moment à m'accorder s'il vous plaît ?
e nɔ nyi xixɔ à,cela ne s'achète pas
"Enyi è nɔ dlɛn agbaza ayihɔngbe ayihɔngbe ɔ, é nɔ zɔ́n bɔ agbaza mɛtɔn nɔ syɛn d’eji, bo nɔ lɛ́ ɖè nǔ e nɔ zɔ́n bɔ è nɔ gblewu mɛ ɖò ayihun lɛ mɛ é kpò tawun.",Les étirements quotidiens améliorent la flexibilité musculaire et réduisent significativement les risques de blessures sportives.
Mɛjitɔ mitɔn lɛ,Vos parents.
E mɛ làn,Il a fait griller de la viande.
Pipan ɖé sixu hwla ye.,Un train peut en cacher.
"A sìxú wá ayihɔ́ngbe ayihɔ́ngbé lɛ́ bĭ, axi gbe lɛ́ jɛ́n má ɖ'é mɛ̀ ă","Tu peux venir tous les jours, sauf les jours de marché."
"Mǐ ka sixu bló tuto kplé ɖé tɔn ɖò aklunɔzán gbla e ja é mɛ, bo ɖɔ xó dó xó enɛ jí à?",Pourrions-nous fixer un rendez-vous la semaine prochaine pour discuter de ce dossier ?
wà azɔ̆,être laborieux
w'azɔ,être laborieux
A na xa nu sin ɖokpo sɔ yi kanweko,Tu comptes de un à cent.
Un na tɛ kan sɔ zanzan,Je vais téléphoner demain matin.
mi nɔ xwe do mawu sε lε,servez dieu de toute votre âme
mɛ ɖĕbù é ná sin xomɛ dó nɔví tɔ́n ɔ́ e nà ɖɔ̀ hwɛ x'ɛ́,quiconque se fâche contre son frère en répondra au tribunal
"É nyí mɛ e ɖo te fí din ɖo Mawu Mavɔmavɔ, Mawu mǐtɔn nukɔn lɛ́ɛ kɛ́ɖɛ́ tɔn wɛ ǎ, lo ɔ́, é lɛ́ nyí vǐ mǐtɔn e è ma ko ji din ǎ lɛ́ɛ lɔ tɔn.","Mais c'est avec ceux qui sont ici parmi nous, présents en ce jour devant l'Éternel, notre Dieu, et avec ceux qui ne sont point ici parmi nous en ce jour."
nù tɔ́n vɛ́ wŭ cè,je lui en veux
É gán jɛ́ wú ɖɔ̀ mɔ̀ jɛ̀n cí,Il a assuré que c’est ainsi.
Avɔ élɔ́ tlí,Ce tissu est épais.
gbe tɛ gbe wɛ nyi egbe,quel jour est
"Ée Jakɔ́bu sɔ́ alɔ tɔn ɖisí ɔ́ ɖó ta nú Eflayímu ɔ́, é nyɔ́ Jozɛ́fu nukún mɛ ǎ. Énɛ́ ɔ́, Jozɛ́fu hɛn tɔ́ tɔn sín alɔ, bó ɖe sín Eflayímu ta, lobo jló ná zé ɖó Manasée ta.","Joseph vit avec déplaisir que son père posait sa main droite sur la tête d'Éphraïm; il saisit la main de son père, pour la détourner de dessus la tête d'Éphraïm, et la diriger sur celle de Manassé."
kpogɛ̀ zɔndewú,bâton d’appui
"“A nǎ ɖǒ kɔ́xota lɛ́ lɛ̌ dó goxɔ ɔ́, bó ná zé lɛ̌ɛnkanvɔ e dɛ kan ganjí ɔ́ dó xá. Avɔ e è nǎ dó xá kɔ́xota ɔ́ ná ɔ́ sín ga ná nyí mɛ̌tlu kanɖé wǒ (50) ɖo goxɔ ɔ́ sín afɔligbé.","Tu feras le parvis du tabernacle. Du côté du midi, il y aura, pour former le parvis, des toiles de fin lin retors, sur une longueur de cent coudées pour ce premier côté,"
un hεn 'adresse' tɔn bu,j'ai perdu son adresse
Jónɔ wɛ,C'est un étranger.
Un yì bɔ̆,Je me suis enfoncé dans la vase.
xò gbè,débrousser un champ pour pouvoir le labourer ensuite
xò gbĕ,débrousser un champ pour pouvoir le labourer ensuite
Mi gla !,Soyez courageux !
Nɛ̀ é ná sú sɔ̀?,Quelle quantité veux-tu ?
Hwenu e jawe ɔ,Avenir.
Ala wegɔ́ ɔ́ nɔ́ nyí Gixɔ́ni; éyɛ́ wɛ nɔ́ sa lɛ́ lɛ̌ dó Kúci sín to ɔ́ bǐ.,Le nom du second fleuve est Guihon; c'est celui qui entoure tout le pays de Cusch.
"Enyi a ɖí xwi xá adohu adohu lɛ gbɔn tamɛ linlin alǒ gbɔjɛ syɛnsyɛn gblamɛ ɔ, é nɔ d’alɔ bɔ hun nɔ syɛn d’eji, bo nɔ lɛ́ hɛn ayi towe ɖó jlɛ̌ jí.",La gestion du stress par la méditation ou la respiration profonde contribue à réduire l'hypertension et à préserver votre équilibre mental.
mìtɔ́ mímɛ́ pápà,notre saint père le pape
"É hu Sihɔ́ni, axɔ́sú Amɔliti lɛ́ɛ tɔn ɔ́, bó hu Ɔgu Basáni xɔ́sú ɔ́, bó hu Kanáa xɔ́sú lɛ́ɛ bǐ.","Sihôn, roi des Amorites, Og, roi du Bashân, et tous les rois de Canaan ;"
un mɔ̀ tán ă,je n'ai pas trouvé un moment
fitɛ́ e nɔ gbɔn yi,par où passe
É nɔ jɛmɛ nú mì gbeɖé ǎ!,Jamais content !
Yě kpó nɔví yětɔn e nyɔ́ han ji ganjí dó kpa Mawu Mavɔmavɔ lɛ́ɛ kpó bló gbɛtɔ́ afɔɖé kanwe tántɔn (288).,"Ils étaient au nombre de deux cent quatre-vingt-huit, y compris leurs frères exercés au chant de l'Éternel, tous ceux qui étaient habiles."
"Mi ma dó hwɛ agɔ nú jǒnɔ e ɖo to mitɔn mɛ lɛ́ɛ ɖě, abǐ tɔ́cyɔvǐ ɖé ó. Mi ma yí avɔ asúkúsi tɔn ɖó gbanu ó.","Tu ne porteras point atteinte au droit de l'étranger et de l'orphelin, et tu ne prendras point en gage le vêtement de la veuve."
Sun wewe wɛ ɖo xwe ɖokpo mɛ,Une année compte douze mois.
yĕ ɖò hă ɖokpó ɔ́ jí,ils sont de même taille
Ma wɔn bo cí zogbɛ́n ɔ hwenu e a na yì é ó.,N'oublie pas d'éteindre la lumière en sortant.
"Toxo xóxó ɔ sín xɔta lɛ, bɔ è sɔ́ kɔ́ e ɖò xixo wɛ ɖó jǐ wu lɛ é dó cyɔn ye jí, bo ɖò só ɔ jí yì wɛ.","Les toits de la vieille ville, couverts d’ardoises luisantes de pluie, montaient à l’assaut de la colline."
"Ée akɔta Izlayɛ́li tɔn e ɖo Totaligbé lɛ́ɛ bǐ mɔ ɖɔ axɔ́sú ɔ́ kún bló nǔ e ba wɛ émí ɖe ɔ́ ó ɔ́, yě ɖɔ: “Ani wɛ ɖo mǐ kpódó Davídi kpó tɛ́ntin? Mǐ kpó Jɛsée ví énɛ́ ɔ́ kpó kpé nǔɖé ǎ Izlayɛ́linu e mi; mɛ ɖokpó ɖokpó ní lɛ́ kɔ yi xwé tɔn gbe! Din ɔ́, Davídi ví, kpé nukún dó axɔ́súɖuto towe wú!” Ée Izlayɛ́linu lɛ́ɛ ɖɔ mɔ̌ ɔ́, yě ɖidó.","Lorsque tout Israël vit que le roi ne l'écoutait pas, le peuple répondit au roi: Quelle part avons-nous avec David? Nous n'avons point d'héritage avec le fils d'Isaï! A tes tentes, Israël! Maintenant, pourvois à ta maison, David! Et tout Israël s'en alla dans ses tentes."
wema ɖee a wlan nu mi ɔ nɛ a,est
"Sɔ kɛ mi, un wɔn nyikɔ towe","Excuse-moi, j'ai oublié ton prénom."
mɛ din elɔ kutɔnu gble kpo gba kpo sin,maintenant cotonou est gâté avec les bas
e kpan ta gɔ̆n tɔ̀n,il se dirigea vers lui
alita nyɔ̆nù,femme de rencontre
alitànyɔ̀nú,femme de rencontre
Xó ɖé tíín à ?,Y a-t-il quelque affaire ?
"Ée Filisitɛ́ɛn ɔ́ j'ayǐ ɔ́, Davídi kán wezun yi gɔ̌n tɔn, bó yi nɔ te ɖo akpá tɔn, bo dɔn hwǐ e Filisitɛ́ɛn ɔ́ blá é sín akún mɛ, bó hu i, bó gbo ta ɛ. Ée Filisitɛ́ɛn lɛ́ɛ mɔ ɖɔ ahwanfuntɔ́ e syɛ́n hú émí mɛ bǐ ɔ́ kú é ɔ́, yě bǐ hɔn.","Il courut, s'arrêta près du Philistin, se saisit de son épée qu'il tira du fourreau, le tua et lui coupa la tête. Les Philistins, voyant que leur héros était mort, prirent la fuite."
Un ɖò kɛnklɛ́ɛn dó nú wé wɛ̀,Je t'en prie.
Kpakpa lε bi,Tous les canards
gbɔ̀n nukɔ̀n,passer par devant
E t'áfú mì bó yí akwɛ́ ɖ'así cè,Il m'a escroqué de l'argent.
mi nu m'a yi azɔmɛ alɔ aximɛ,que j'aille à l'école ou au marché
Gblɔ̆ zo kpɛɖé dó nusúnnú ɔ́,Fais réchauffer un peu la sauce.
Azɔn lε si nyi wε a ?,La maladie a-t-elle empiré ?
Un ɖò azɔ̌kplɔnmɛ akwɛzinzan tɔn e jɛxa akwɛzinzan mɛɖesunɔ tɔn é ba wɛ.,Je recherche une formation professionnelle en comptabilité éligible au compte personnel de formation.
Ayixa e nɔ ba na tuùn nǔ é wɛ nyí ayixa e ma nɔ kpò gbeɖé ǎ é.,Un esprit curieux est un esprit qui ne vieillit jamais.
yè kɛ́ nyì aklúzu jí,ils le crucifièrent
Mɛ ɖè lɛ́ yì xwé yètɔ́n gbè ɖò gleta,Certains s’en allèrent à leur maison de campagne.
Ba sin,Chercher de l'eau.
"Ée nǔ ná cí mɔ̌ é ɔ́, mi ma ɖo afɔ tɛ ayǐ wɛ káká bó wɔn Mawu Mavɔmavɔ, Mawu mitɔn e ɖe mi tɔ́n sín kannumɔgbénu ɖo Ejípu é ó.","prends garde que ton coeur ne s'enfle, et que tu n'oublies l'Éternel, ton Dieu, qui t'a fait sortir du pays d'Égypte, de la maison de servitude,"
Un jló na sɔ́ tavo ɖokpo ɖó te nú mɛ wè.,J'aimerais réserver une table pour deux personnes.
a nɔ vò gbeɖé ă,tu es toujours occupé
gbà mεɖéé dŏ,se trahir
"A sixu xlɛ mi tuto ɔ, kɛnklɛn à ?","Pouvez-vous me montrer sur le plan, s'il vous plaît ?"
tuto,ordre
zìnzɔ́n,ordre
zùnzɔ́n,ordre
Gbadanu elɔ,Ce soir
"Ée un mɔ ɖɔ mi kún ɖo wǐwá wɛ ó ɔ́, un gbɔ bo sɔ́ ta mɛ nyi gbě bó yi tɔ́n ahwan Amumɔ́ɔ ví lɛ́ɛ, lobɔ Mawu Mavɔmavɔ ka jó yě nú mì. Bɔ aniwú wɛ mi wá ɖo ahwan ná fun xá mì wɛ lo?”","Voyant que tu ne venais pas à mon secours, j'ai exposé ma vie, et j'ai marché contre les fils d'Ammon. L'Éternel les a livrés entre mes mains. Pourquoi donc aujourd'hui montez-vous contre moi pour me faire la guerre ?"
"Énɛ́ ɔ́, axɔ́sú ɔ́ ɖɔ nú gǎn hɔn-yitɔ́ tɔn lɛ́ɛ ɖɔ: “Nya élɔ́ ɔ́, Yɛ Mawu tɔn ɖo jǐ tɔn. Mǐ ná sixú mɔ étɔn ɖɔhun a?”","Et Pharaon dit à ses serviteurs: Trouverions-nous un homme comme celui-ci, ayant en lui l'esprit de Dieu?"
ee tɔ tɔn ku ɔ yi agbomε,comme son père est mort est parti à abomey
Un sè xó tɔn kpɔ́n ǎ.,Jamais entendu parler.
È ɖò azɔ̌xwé wè lɛ kplé ɖó kpɔ́ wɛ.,La fusion des deux entreprises est en cours de finalisation.
E ɖo ceju atɔɔn ɖo fi,C'est à 5 mn d'ici
atinsinsεn enε ɔ,l'arbre
"Suúlu ma ɖó nɔ zɔ́n bɔ un nɔ xò nǔ kpɔ́n bo nɔ sɔ́ sixu nɔte ǎ, bo nɔ ɖò flɛtɛli ɔ nu sɛ̀ tɛn wɛ hwebǐnu bo nɔ yì zinkpo ce jí.","L’impatience me rend fébrile et je n’arrive pas à tenir en place, passant de la fenêtre à ma chaise sans cesse."
Hὲnnúmɔ́ cé wὲ,Nous sommes de la même souche.
un ɖò kɛ́n ɖokpó,je suis comme ci comme ça
Na nuɖuɖu mitɔn tεgbε tɔn.,Donne notre nourriture de chaque jour
"Katɛdrali ɔ nɔ sɔ́ xɔgbigbázɔ́ tɔn lɛ dó jǐnukúnsin afínnɔ ɔ, bo nɔ xò xwè kanweko mɔkpan zlɛ kpo nǔɖiɖi e é ɖó nú awinnya é kpo.","La cathédrale élance ses arcs-boutants vers le ciel gris, défiant les siècles de sa foi de pierre."
É dó kíjá yĕ mɛ̀,Il a semé le trouble entre eux.
ɖe tɛ ɖu,lequel a mangé
A ɖu ɖo kú jí,Tu as vaincu la mort.
"Hwenu e a ɖò nǔ lɛ kplé wɛ é ɔ, xwedó afɔ e è sɔ́ kɛ́n dó ɖè ɖò alixlɛ́mɛ lɛ mɛ lɛ é ganji.","Lors du montage du meuble, suivez scrupuleusement les étapes numérotées sur la notice."
Eli ka ylɔ́ Samuwɛ́li bo ɖɔ: “Samuwɛ́li vǐ ce!” Bɔ é ɖɔ: “Wěyi!”,"Mais Éli appela Samuel, et dit : Samuel, mon fils! Il répondit : Me voici !"
"Aklunɔ, d’alɔ mi","Seigneur, aide-moi."
Agban enɛ ɔ lɛ nyi bibɛ yi gbɔn tɔjihun mɛ,Ces marchandises furent transportées en bateau.
Hwe klé,Le soleil apparaît.
avɔlɔnnú,métier à tissu
Feví nusúnnú nɔ́ dó dɛ̀ b’ɛ́ víví ɖésú,La sauce au gombo est gluante et c’est très bon.
kán,sers
Nu Mawu yi gbe ɔ,Si Dieu accepte
"Kalɛ́bu ɖó asi ɖokpó bɔ é nɔ́ nyí Eyifa. Eyifa ji Halani, Mɔsa kpó Gazɛzi kpó n'i. Halani ji súnnu ɖokpó, bó sun nyǐ i ɖɔ Gazɛzi.","Épha, concubine de Caleb, enfanta Haran, Motsa et Gazez. Haran engendra Gazez."
yá wŭ,presse
Yě ká wlí xó e Jozɛ́fu ɖɔ nú yě lɛ́ɛ bǐ ɖɔ n'i. Jakɔ́bu mɔ kɛkɛ́ví e Jozɛ́fu sɛ́ dó e bɔ è nǎ zé e d'é mɛ lɛ́ɛ. Hwenɛ́nu wɛ tɔ́ yětɔn sín ayi wá j'ayǐ.,"Ils lui rapportèrent toutes les paroles que Joseph leur avait dites. Il vit les chars que Joseph avait envoyés pour le transporter. C'est alors que l'esprit de Jacob, leur père, se ranima;"
Hwenuxó e è nɔ ɖɔ ɖò togun mɛ lɛ é wɛ nyí xógbe gudogudo tɔn e gbɛtɔ́ e tuùn xóɖiɖɔ xá sunví lɛ é nɔ ɖɔ é.,Les contes populaires sont les derniers murmures d’une humanité qui savait parler aux étoiles.
Fitɛ dotoxwe ɖe ?,Où se trouve le dispensaire ?
Vi ce sin asu lε nɔ w'azɔ ɖo kpɔ,Mes gendres travaillent ensemble.
Vi ce lɛ na hɛn nuɖuɖu wa nu mi,Mes enfants vous apporteront la nourriture.
A ɖo kafe nu wε,Tu bois du café.
etɛ nɔ towe nɔ blo,que fait ta mère
Mǐ ná ko fó azɔ̌ ɔ́ cóbónú mi ná lɛ́ kɔ wá.,Nous aurons fini les travaux avant votre retour.
A ka ɖó wěɖexámɛ ɖé lɛ dó wema yɔyɔ̌ e è ba dò na ganji ɖò nǔnyanyawiwa hwexónu tɔn lɛ mɛ é wu à?,Avez-vous des recommandations de livres récents dans le genre policier historique bien documenté ?
"A nǎ ɖuɖéjí mɛ e ma ɖo jǐ tɔn ǎ lɛ́ɛ, a dǒ xomɛhunhun nú kɛntɔ́ tɔn lɛ́ɛ bǐ.","Tu as élevé la main droite de ses adversaires, tu as réjoui tous ses ennemis ;"
"Xósin tɔn ɔ, é na bo tlɛ nyí mɛsísí ɖò nukúnta ɔ, é nyí gbe e è gbɛ́ kpo mɛsísí kpo é ɖé nugbǒ, bɔ è sɔ́ xógbe mɛsísí tɔn lɛ dó bló na.","Sa réponse, bien que polie en surface, n'était en réalité qu'un refus cinglant déguisé sous des formules de courtoisie."
é ɖésú ná wá,lui-même viendra
"Siká basya ko; basya lɛ́ɛ ná xɔ sikágankwɛ́ afatɔ́n (1.000), zɛ̌n ɖagbe ɖagbe we; ganvɔ wɛ è do bló yě ná, bɔ yě nɔ́ kɔ́n. Nǔxɔ-akwɛ́ wɛ yě lɔ nyí zɛ̌n e è sɔ́ siká dó bló ná ɔ́ ɖɔhun.","vingt coupes d'or valant mille dariques, et deux vases d'un bel airain poli, aussi précieux que l'or."
"Nǔ énɛ́ e Salomɔ́ɔ byɔ́ ɔ́ nyɔ́ Mawu Mavɔmavɔ nukún mɛ,",Cette demande de Salomon plut au Seigneur.
sè ɖŏ zɔ̀,mettre à l'écart
ɖa,cheveux
"Mɛ e nɔ lin tamɛ ganjí ɔ́, nǔ tɔn nɔ́ nyɔ́ gbɛtɔ́ nukún mɛ; mɛsaɖutɔ́ sín ali ka nɔ kplá mɛ yi fí ɖé ǎ.",Le bon sens procure la grâce ; la voie des traîtres est sans issue.
vĭ ɖò anɔ̀ nɔ́ wɛ̀,l'enfant est en train de téter
ze gbeta ɖokpo,décide
e ɖo nɔ tɔn ylɔ wε,il appelle sa maman
bo na yi Togbin.,et tu iras à Togbin.
"Xó gbló e wlí ɖɔ wɛ a ɖe ɔ́, hwetɛ́nu wɛ é ná fó dó? Ani ka ɖo gbigbo we wɛ bɔ a ɖo gbe kán nú mɛ wɛ mɔ̌?",Quand finiront ces discours en l'air? Pourquoi cette irritation dans tes réponses ?
